"LAT","LONG"
-23680953,-46712732
-23692684,-46699515
-23690425,-46697187
-23721424,-46693705
-23716976,-46693949
-23710834,-46687069
-23720372,-46688701
-23722071,-46683157
-23720852,-46678102
-23717184,-46679241
-23699760,-46692031
-23730567,-46691316
-23734148,-46692224
-23729218,-46701204
-23733929,-46713224
-23736084,-46701987
-23745171,-46708557
-23757127,-46683113
-23741726,-46697575
-23744238,-46698081
-23747414,-46690772
-23745603,-46692783
-23744750,-46701000
-23748615,-46701142
-23750407,-46701613
-23748270,-46705201
-23757204,-46702207
-23757922,-46702727
-23757397,-46705287
-23749204,-46691025
-23762233,-46655252
-23735449,-46676507
-23731356,-46677400
-23742158,-46674830
-23746315,-46668937
-23743135,-46673305
-23744628,-46674194
-23741664,-46657898
-23755432,-46662089
-23753631,-46663300
-23750338,-46663982
-23769853,-46675994
-23771092,-46675368
-23771330,-46692605
-23774453,-46687771
-23769072,-46680920
-23767952,-46681468
-23765706,-46694323
-23771329,-46694622
-23779564,-46700392
-23757810,-46715517
-23767670,-46711062
-23765269,-46711110
-23762068,-46710043
-23762504,-46707874
-23760385,-46704215
-23758798,-46701200
-23764062,-46702672
-23665601,-46716409
-23666600,-46721199
-23682058,-46715444
-23685538,-46710717
-23692564,-46695848
-23693354,-46695442
-23692864,-46695743
-23691259,-46696619
-23708405,-46709383
-23719796,-46693055
-23718593,-46697494
-23716095,-46686459
-23715514,-46686182
-23719803,-46688542
-23724242,-46678848
-23716690,-46677214
-23717503,-46677888
-23734133,-46684431
-23731724,-46683997
-23727917,-46690193
-23729804,-46690130
-23730096,-46689472
-23730650,-46689327
-23731660,-46692115
-23724718,-46716135
-23727048,-46708728
-23729141,-46699808
-23735347,-46702640
-23735043,-46700872
-23736057,-46715180
-23736696,-46700337
-23735204,-46703206
-23738442,-46703655
-23738402,-46702568
-23741086,-46711109
-23741680,-46702669
-23741759,-46702799
-23740986,-46702437
-23736658,-46689945
-23741177,-46689756
-23742079,-46690555
-23745948,-46686267
-23747994,-46685181
-23740639,-46681838
-23738056,-46692362
-23740655,-46696046
-23746743,-46689810
-23745781,-46689304
-23745373,-46696602
-23745400,-46697256
-23751943,-46702886
-23748422,-46698827
-23761947,-46706305
-23732786,-46697059
-23753017,-46684053
-23735409,-46679537
-23733431,-46675499
-23738702,-46680719
-23743644,-46674624
-23741583,-46670898
-23740954,-46671256
-23734844,-46670110
-23744998,-46657611
-23742539,-46672789
-23739006,-46670056
-23741401,-46667292
-23747171,-46665254
-23736669,-46662862
-23732898,-46661028
-23740983,-46658988
-23743588,-46670819
-23741726,-46661632
-23738874,-46662279
-23740412,-46663491
-23752755,-46679979
-23750708,-46677503
-23756043,-46660430
-23765261,-46671123
-23763424,-46674537
-23759747,-46677292
-23760692,-46677182
-23759127,-46675139
-23768971,-46676035
-23771065,-46674965
-23767497,-46692324
-23766772,-46691561
-23773752,-46688155
-23779468,-46675247
-23769433,-46684903
-23770341,-46683806
-23767002,-46681599
-23784734,-46687108
-23779835,-46685165
-23788197,-46679539
-23780405,-46699451
-23779794,-46697616
-23779635,-46697679
-23768865,-46707159
-23768109,-46703058
-23760150,-46716641
-23755615,-46714010
-23765385,-46713510
-23764164,-46707817
-23767215,-46710010
-23672881,-46707700
-23680904,-46715495
-23710502,-46700209
-23710273,-46693512
-23712348,-46692437
-23708231,-46690130
-23717235,-46685385
-23720037,-46690394
-23720010,-46689780
-23718960,-46687686
-23719778,-46684552
-23720237,-46686175
-23707140,-46690155
-23699549,-46692240
-23730799,-46691467
-23727333,-46696516
-23722347,-46692509
-23725671,-46712801
-23735681,-46708548
-23727005,-46708867
-23731627,-46702064
-23736510,-46715438
-23739053,-46713105
-23744577,-46709699
-23738956,-46690526
-23743372,-46697897
-23743606,-46698774
-23747419,-46689745
-23751223,-46701978
-23761262,-46705662
-23749429,-46694332
-23755805,-46676852
-23755254,-46671821
-23730685,-46675795
-23730917,-46676786
-23741648,-46672900
-23738158,-46669470
-23739966,-46670948
-23748968,-46666153
-23736742,-46665180
-23736441,-46663389
-23734222,-46661578
-23745965,-46655953
-23741328,-46656487
-23739094,-46660478
-23754286,-46676542
-23753254,-46673920
-23754315,-46671864
-23747575,-46666934
-23746812,-46662689
-23756136,-46658688
-23752255,-46660079
-23754093,-46657678
-23756882,-46677192
-23763120,-46680535
-23762042,-46674962
-23765513,-46676908
-23760980,-46665171
-23761090,-46681084
-23769012,-46676129
-23770325,-46677150
-23769391,-46683295
-23771247,-46684507
-23772829,-46683372
-23772535,-46682203
-23772138,-46691170
-23787313,-46684847
-23782630,-46680675
-23786251,-46684139
-23782276,-46679704
-23786495,-46680996
-23778237,-46692722
-23757870,-46714884
-23758374,-46717290
-23757948,-46715097
-23765592,-46713757
-23762127,-46700586
-23762935,-46703880
-23764584,-46705460
-23764921,-46717303
-23800305,-46638247
-23670900,-46717769
-23682688,-46700966
-23702547,-46701746
-23689713,-46695820
-23689974,-46695637
-23690780,-46696912
-23716005,-46696615
-23717255,-46698489
-23716868,-46686810
-23711286,-46687490
-23720267,-46677549
-23722221,-46678035
-23723661,-46679793
-23723419,-46688637
-23724904,-46684764
-23732410,-46692687
-23734545,-46689202
-23737530,-46687645
-23721803,-46695786
-23721960,-46696909
-23728139,-46706737
-23720466,-46702387
-23721341,-46703415
-23724997,-46705382
-23730816,-46714383
-23725091,-46707741
-23730735,-46709772
-23735057,-46707846
-23733157,-46711866
-23731793,-46704146
-23732162,-46714139
-23733743,-46714566
-23740207,-46712210
-23734566,-46705315
-23740508,-46704280
-23742389,-46679739
-23735745,-46695906
-23737806,-46696990
-23737864,-46696931
-23744084,-46693694
-23745545,-46697220
-23749619,-46688772
-23746272,-46701690
-23745187,-46702855
-23752468,-46701184
-23752053,-46700527
-23751894,-46699207
-23752022,-46695726
-23739835,-46680195
-23741831,-46670906
-23737557,-46669430
-23735245,-46659505
-23738257,-46664766
-23738600,-46658636
-23736916,-46665087
-23735925,-46663389
-23746387,-46655035
-23742758,-46658363
-23754120,-46668130
-23743420,-46665752
-23754822,-46663038
-23756111,-46660553
-23767317,-46662935
-23771050,-46694602
-23774304,-46688831
-23762273,-46689139
-23771196,-46683088
-23768716,-46697033
-23783910,-46686628
-23783535,-46685710
-23780404,-46685317
-23777273,-46698693
-23784323,-46690303
-23780181,-46699789
-23784036,-46684629
-23779409,-46701070
-23765744,-46705289
-23765747,-46706956
-23765595,-46706331
-23770098,-46705389
-23764910,-46714202
-23763356,-46705869
-23765365,-46711426
-23762861,-46709032
-23762180,-46709209
-23761512,-46709200
-23808377,-46640800
-23677618,-46713154
-23685175,-46707357
-23694146,-46694955
-23700819,-46701369
-23715127,-46708635
-23719668,-46695663
-23720193,-46689595
-23720977,-46681758
-23732857,-46684727
-23728964,-46681603
-23731548,-46687440
-23701676,-46691379
-23731499,-46682220
-23731689,-46682915
-23726705,-46683021
-23735618,-46692989
-23733657,-46687520
-23719111,-46700587
-23721670,-46706248
-23725993,-46705149
-23723219,-46707880
-23725644,-46707856
-23728082,-46703450
-23732320,-46704106
-23727793,-46700337
-23734281,-46705259
-23735713,-46705202
-23735662,-46706608
-23740843,-46689019
-23742191,-46701076
-23743430,-46697042
-23742058,-46695266
-23737634,-46697008
-23743053,-46698450
-23745180,-46693402
-23746998,-46701196
-23750568,-46694194
-23749542,-46694319
-23748776,-46695511
-23750435,-46695278
-23738453,-46683737
-23734700,-46669783
-23742620,-46668903
-23743526,-46666410
-23739948,-46667770
-23739254,-46663244
-23741600,-46671448
-23741128,-46655887
-23746241,-46654972
-23748615,-46679689
-23751049,-46675605
-23753054,-46670393
-23755300,-46663510
-23754091,-46662374
-23753396,-46658148
-23758351,-46661610
-23765723,-46671671
-23765693,-46672962
-23760535,-46671270
-23761795,-46670764
-23760478,-46679149
-23762719,-46674425
-23764671,-46676051
-23764109,-46676198
-23761930,-46673727
-23761376,-46675617
-23772785,-46676922
-23770915,-46676670
-23772330,-46674950
-23772372,-46681248
-23765332,-46694368
-23771439,-46694965
-23780253,-46685493
-23783207,-46679948
-23787405,-46696420
-23787074,-46682837
-23782819,-46685969
-23773364,-46707239
-23772502,-46703909
-23765871,-46705129
-23765485,-46706357
-23757273,-46715985
-23758408,-46716198
-23758637,-46709835
-23762995,-46709855
-23763370,-46711211
-23763657,-46703114
