"DIAG_PRINC","n","CLASSIF","RESTRSEXO","CAUSAOBITO","DESCRICAO","DESCRABREV","REFER","EXCLUIDOS","...9"
"P599",334,NA,NA,NA,"Icterícia neonatal não especificada","P59.9 Ictericia neonatal NE",NA,NA,NA
"J219",306,NA,NA,NA,"Bronquite aguda não especificada","J21.9 Bronquite aguda NE",NA,NA,NA
"P969",258,NA,NA,NA,"Afecções originadas no período perinatal não especificadas","P96.9 Afeccoes originadas no periodo perinatal NE",NA,NA,NA
"J189",200,NA,NA,NA,"Pneumonia não especificada","J18.9 Pneumonia NE",NA,NA,NA
"N47",195,NA,"M","N","Hipertrofia do prepúcio, fimose e parafimose","N47   Hipertrofia do prepucio fimose e parafimose",NA,NA,NA
"J180",188,NA,NA,NA,"Broncopneumonia não especificada","J18.0 Broncopneumonia NE",NA,NA,NA
"P229",145,NA,NA,NA,"Desconforto respiratório não especificado do recém-nascido","P22.9 Desconforto respirat NE do recem-nascido",NA,NA,NA
"J210",99,NA,NA,NA,"Bronquiolite aguda devida a vírus sincicial respiratório","J21.0 Bronquiolite aguda dev virus sincicial resp",NA,NA,NA
"J353",99,NA,NA,"N","Hipertrofia das amígdalas com hipertrofia das adenóides","J35.3 Hipertrofia amigdalas c/hipertrof adenoides",NA,NA,NA
"K429",97,NA,NA,NA,"Hérnia umbilical sem obstrução ou gangrena","K42.9 Hernia umbilical s/obstrucao ou gangrena",NA,NA,NA
"P073",95,NA,NA,NA,"Outros recém-nascidos de pré-termo","P07.3 Outr recem-nascidos de pre-termo",NA,NA,NA
"A09",87,NA,NA,NA,"Diarréia e gastroenterite de origem infecciosa presumível","A09   Diarreia e gastroenterite orig infecc presum",NA,NA,NA
"N390",63,NA,NA,NA,"Infecção do trato urinário de localização não especificada","N39.0 Infecc do trato urinario de localiz NE",NA,NA,NA
"J218",60,NA,NA,NA,"Bronquiolite aguda devida a outros microorganismos especificados","J21.8 Bronquiolite aguda dev outr microorg espec",NA,NA,NA
"P704",59,NA,NA,NA,"Outras hipoglicemias neonatais","P70.4 Outr hipoglicemias neonatais",NA,NA,NA
"K409",55,NA,NA,NA,"Hérnia inguinal unilateral ou não especificada, sem obstrução ou gangrena","K40.9 Hernia inguinal unilat NE s/obstr gangrena",NA,NA,NA
"S068",53,NA,NA,NA,"Outros traumatismos intracranianos","S06.8 Outr traum intracranianos",NA,NA,NA
"J459",49,NA,NA,NA,"Asma não especificada","J45.9 Asma NE",NA,NA,NA
"P051",49,NA,NA,NA,"Pequeno para a idade gestacional","P05.1 Pequeno p/a idade gestacional",NA,NA,NA
"P228",38,NA,NA,NA,"Outros desconfortos respiratórios do recém-nascido","P22.8 Outr desconfortos respirat do recem-nascido",NA,NA,NA
"A499",36,NA,NA,NA,"Infecção bacteriana não especificada","A49.9 Infecc bacter NE",NA,NA,NA
"G409",35,NA,NA,NA,"Epilepsia, não especificada","G40.9 Epilepsia NE",NA,NA,NA
"A419",34,NA,NA,NA,"Septicemia não especificada","A41.9 Septicemia NE",NA,NA,NA
"J068",33,NA,NA,"N","Outras infecções agudas das vias aéreas superiores de localizações múltiplas","J06.8 Outr infecc agudas vias aereas sup loc mult",NA,NA,NA
"L032",31,NA,NA,NA,"Celulite da face","L03.2 Celulite da face",NA,NA,NA
"K929",22,NA,NA,NA,"Doença do aparelho digestivo, sem outra especificação","K92.9 Doenc do aparelho digestivo SOE",NA,NA,NA
"P399",22,NA,NA,NA,"Infecção própria do período perinatal não especificada","P39.9 Infecc propria do periodo perinatal NE",NA,NA,NA
"Q531",22,NA,"M",NA,"Testículo não-descido, unilateral","Q53.1 Testiculo nao-descido unilateral",NA,NA,NA
"P220",21,NA,NA,NA,"Síndrome da angústia respiratória do recém-nascido","P22.0 Sindr da angustia respirat do recem-nascido",NA,NA,NA
"J960",20,NA,NA,NA,"Insuficiência respiratória aguda","J96.0 Insuf respirat aguda",NA,NA,NA
"K402",20,NA,NA,NA,"Hérnia inguinal bilateral, sem obstrução ou gangrena","K40.2 Hernia inguinal bilat s/obstr ou gangrena",NA,NA,NA
"P299",20,NA,NA,NA,"Transtornos cardiovasculares não especificados originados no período perinatal","P29.9 Transt cardiovasc NE orig periodo perinatal",NA,NA,NA
"A509",19,NA,NA,NA,"Sífilis congênita não especificada","A50.9 Sifilis congen NE",NA,NA,NA
"L031",17,NA,NA,NA,"Celulite de outras partes do(s) membro(s)","L03.1 Celulite de outr partes de membros",NA,NA,NA
"J040",16,NA,NA,NA,"Laringite aguda","J04.0 Laringite aguda",NA,NA,NA
"S424",16,NA,NA,NA,"Fratura da extremidade inferior do úmero","S42.4 Frat da extremidade infer do umero",NA,NA,NA
"C961",15,NA,NA,NA,"Histiocitose maligna","C96.1 Histiocitose maligna",NA,NA,NA
"D570",15,NA,NA,NA,"Anemia falciforme com crise","D57.0 Anemia falciforme c/crise",NA,NA,NA
"J40",15,NA,NA,NA,"Bronquite não especificada como aguda ou crônica","J40   Bronquite NE como aguda ou cronica",NA,NA,NA
"N433",15,NA,"M",NA,"Hidrocele não especificada","N43.3 Hidrocele NE",NA,NA,NA
"P050",15,NA,NA,NA,"Recém-nascido de baixo peso para a idade gestacional","P05.0 Recem-nascido de baixo peso p/a idade gestac",NA,NA,NA
"C741",14,NA,NA,NA,"Neoplasia maligna da medula da supra-renal","C74.1 Medula da supra-renal",NA,NA,NA
"J159",14,NA,NA,NA,"Pneumonia bacteriana não especificada","J15.9 Pneumonia bacter NE",NA,NA,NA
"P219",14,NA,NA,NA,"Asfixia ao nascer, não especificada","P21.9 Asfixia ao nascer NE",NA,NA,NA
"C910",13,NA,NA,NA,"Leucemia linfoblástica aguda","C91.0 Leucemia linfoblastica aguda",NA,NA,NA
"K439",13,NA,NA,NA,"Hérnia ventral sem obstrução ou gangrena","K43.9 Hernia ventral s/obstrucao ou gangrena",NA,NA,NA
"L500",12,NA,NA,NA,"Urticária alérgica","L50.0 Urticaria alergica",NA,NA,NA
"C749",11,NA,NA,NA,"Neoplasia maligna da glândula supra-renal, não especificada","C74.9 Gland supra-renal NE",NA,NA,NA
"J039",11,NA,NA,NA,"Amigdalite aguda não especificada","J03.9 Amigdalite aguda NE",NA,NA,NA
"J154",11,NA,NA,NA,"Pneumonia devida a outros estreptococos","J15.4 Pneumonia dev outr estreptococos",NA,NA,NA
"J352",11,NA,NA,"N","Hipertrofia das adenóides","J35.2 Hipertrofia das adenoides",NA,NA,NA
"N398",11,NA,NA,NA,"Outros transtornos especificados do aparelho urinário","N39.8 Outr transt espec do aparelho urinario",NA,NA,NA
"Q381",10,NA,NA,"N","Anquiloglossia","Q38.1 Anquiloglossia",NA,NA,NA
"Q549",10,NA,"M",NA,"Hipospádia não especificada","Q54.9 Hipospadia NE",NA,NA,NA
"R509",10,NA,NA,NA,"Febre não especificada","R50.9 Febre NE",NA,NA,NA
"L038",9,NA,NA,NA,"Celulite de outros locais","L03.8 Celulite de outr locais",NA,NA,NA
"P928",9,NA,NA,NA,"Outros problemas de alimentação do recém-nascido","P92.8 Outr problemas de alimentacao recem-nascido",NA,NA,NA
"B018",8,NA,NA,NA,"Varicela com outras complicações","B01.8 Varicela c/outr complic",NA,NA,NA
"E86",8,NA,NA,NA,"Depleção de volume","E86   Deplecao de volume",NA,NA,NA
"G919",8,NA,NA,NA,"Hidrocefalia não especificada","G91.9 Hidrocefalia NE",NA,NA,NA
"J209",8,NA,NA,NA,"Bronquite aguda não especificada","J20.9 Bronquite aguda NE",NA,NA,NA
"K359",8,NA,NA,NA,"Apendicite aguda sem outra especificação","K35.9 Apendicite aguda SOE",NA,NA,NA
"A085",7,NA,NA,NA,"Outras infecções intestinais especificadas","A08.5 Outr infecc intestinais espec",NA,NA,NA
"H669",7,NA,NA,NA,"Otite média não especificada","H66.9 Otite media NE",NA,NA,NA
"J069",7,NA,NA,"N","Infecção aguda das vias aéreas superiores não especificada","J06.9 Infecc aguda das vias aereas super NE",NA,NA,NA
"K30",7,NA,NA,NA,"Dispepsia","K30   Dispepsia",NA,NA,NA
"M653",7,NA,NA,"N","Dedo em gatilho","M65.3 Dedo em gatilho",NA,NA,NA
"P240",7,NA,NA,NA,"Aspiração neonatal de mecônio","P24.0 Aspiracao neonatal de meconio",NA,NA,NA
"S069",7,NA,NA,NA,"Traumatismo intracraniano, não especificado","S06.9 Traum intracraniano NE",NA,NA,NA
"S723",7,NA,NA,NA,"Fratura da diáfise do fêmur","S72.3 Frat da diafise do femur",NA,NA,NA
"T180",7,NA,NA,NA,"Corpo estranho na boca","T18.0 Corpo estranho na boca",NA,NA,NA
"D571",6,NA,NA,NA,"Anemia falciforme sem crise","D57.1 Anemia falciforme s/crise",NA,NA,NA
"D693",6,NA,NA,NA,"Púrpura trombocitopênica idiopática","D69.3 Purpura trombocitopenica idiopatica",NA,NA,NA
"G408",6,NA,NA,NA,"Outras epilepsias","G40.8 Outr epilepsias",NA,NA,NA
"J158",6,NA,NA,NA,"Outras pneumonias bacterianas","J15.8 Outr pneumonias bacter",NA,NA,NA
"L508",6,NA,NA,NA,"Outras urticárias","L50.8 Outr urticarias",NA,NA,NA
"P008",6,NA,NA,NA,"Feto e recém-nascido afetados por outras afecções maternas","P00.8 Fet rec-nasc afet outr afeccoes maternas",NA,NA,NA
"P298",6,NA,NA,NA,"Outros transtornos cardiovasculares originados no período perinatal","P29.8 Outr transt cardiovasc orig periodo perinat",NA,NA,NA
"P369",6,NA,NA,NA,"Septicemia bacteriana não especificada do recém-nascido","P36.9 Septicemia bacter NE do recem-nascido",NA,NA,NA
"P398",6,NA,NA,NA,"Outras infecções especificadas próprias do período perinatal","P39.8 Outr infecc espec proprias periodo perinatal",NA,NA,NA
"Q668",6,NA,NA,"N","Outras deformidades congênitas do pé","Q66.8 Outr deform congen do pe",NA,NA,NA
"Q699",6,NA,NA,"N","Polidactilia não especificada","Q69.9 Polidactilia NE",NA,NA,NA
"Q709",6,NA,NA,"N","Sindactilia não especificada","Q70.9 Sindactilia NE",NA,NA,NA
"A879",5,NA,NA,NA,"Meningite viral não especificada","A87.9 Meningite viral NE",NA,NA,NA
"H700",5,NA,NA,NA,"Mastoidite aguda","H70.0 Mastoidite aguda",NA,NA,NA
"K122",5,NA,NA,NA,"Celulite e abscesso da boca","K12.2 Celulite e abscesso da boca",NA,NA,NA
"K403",5,NA,NA,NA,"Hérnia inguinal unilateral ou não especificada, com obstrução sem gangrena","K40.3 Hernia inguinal unilat NE c/obstr s/gangrena",NA,NA,NA
"K419",5,NA,NA,NA,"Hérnia femoral unilateral ou não especificada, sem obstrução ou gangrena","K41.9 Hernia femoral unilat NE s/obstr ou gangrena",NA,NA,NA
"K590",5,NA,NA,NA,"Constipação","K59.0 Constipacao",NA,NA,NA
"L028",5,NA,NA,NA,"Abscesso cutâneo, furúnculo e antraz de outras localizações","L02.8 Abscesso cutaneo furunculo e antraz outr loc",NA,NA,NA
"R104",5,NA,NA,NA,"Outras dores abdominais e as não especificadas","R10.4 Outr dores abdominais e as NE",NA,NA,NA
"T174",5,NA,NA,NA,"Corpo estranho na traquéia","T17.4 Corpo estranho na traqueia",NA,NA,NA
"T181",5,NA,NA,NA,"Corpo estranho no esôfago","T18.1 Corpo estranho no esofago",NA,NA,NA
