"DIAG_PRINC","n"
"J180",362
"P599",362
"J189",354
"P969",282
"N47",264
"J219",254
"K429",162
"P229",144
"P073",117
"P051",110
"N390",98
"J218",91
"A09",87
"J353",60
"P228",60
"K409",58
"J210",52
"G409",44
"P704",42
"Q531",42
"P220",38
"P399",38
"J068",37
"K402",37
"S068",34
"A419",31
"A499",28
"P369",28
"J459",27
"L032",26
"S424",25
"K929",23
"P219",20
"C910",19
"A509",17
"K439",17
"L031",17
"J154",16
"P080",16
"P050",14
"C961",13
"N049",13
"P299",13
"L038",12
"R509",12
"J960",11
"K359",11
"L500",11
"Z948",11
"A879",10
"H669",10
"J040",10
"Q379",10
"Q549",10
"Q699",10
"J039",9
"D570",8
"K30",8
"L010",8
"L508",8
"N433",8
"P398",8
"P968",8
"Z470",8
"G919",7
"J159",7
"J209",7
"K350",7
"P221",7
"P285",7
"P928",7
"S913",7
"A085",6
"K219",6
"L720",6
"Q668",6
"S723",6
"B018",5
"B019",5
"D693",5
"G809",5
"H659",5
"J110",5
"K222",5
"K529",5
"L029",5
"L989",5
"P072",5
"P298",5
"Q210",5
"Q709",5
"Q892",5
"R104",5
"R568",5
"Z478",5
"C692",4
"D692",4
"E86",4
"G408",4
"G418",4
"H660",4
"I878",4
"J042",4
"J352",4
"J40",4
"K564",4
"L028",4
"L905",4
"P210",4
"P240",4
"P589",4
"Q780",4
"R05",4
"S069",4
"T16",4
"A080",3
"A379",3
"A415",3
"A86",3
"A89",3
"A90",3
"C710",3
"C749",3
"D179",3
"D571",3
"F840",3
"G400",3
"G479",3
"H502",3
"H508",3
"J069",3
"J351",3
"J359",3
"J450",3
"J46",3
"K122",3
"K137",3
"K561",3
"K921",3
"K922",3
"K928",3
"L020",3
"L209",3
"L509",3
"L998",3
"M653",3
"N130",3
"N398",3
"P081",3
"P134",3
"P925",3
"Q181",3
"Q257",3
"Q431",3
"Q525",3
"Q530",3
"Q532",3
"Q748",3
"R040",3
"R11",3
"T180",3
"T189",3
"T293",3
"T509",3
"A310",2
"A318",2
"A411",2
"A491",2
"A498",2
"D180",2
"D360",2
"D578",2
"D649",2
"D696",2
"D699",2
"E872",2
"G060",2
"H509",2
"H650",2
"H652",2
"H664",2
"H700",2
"H709",2
"H919",2
"I279",2
"I471",2
"J188",2
"J358",2
"J36",2
"J451",2
"J869",2
"J942",2
"J958",2
"K403",2
"K610",2
"K638",2
"L021",2
"L023",2
"L024",2
"L030",2
"L080",2
"L729",2
"L97",2
"M009",2
"M609",2
"N040",2
"N041",2
"N048",2
"N179",2
"N432",2
"N44",2
"N509",2
"P008",2
"P070",2
"P071",2
"P282",2
"P371",2
"P394",2
"P509",2
"P551",2
"P598",2
"P835",2
"Q178",2
"Q234",2
"Q369",2
"Q375",2
"Q381",2
"Q444",2
"Q540",2
"Q660",2
"Q669",2
"R074",2
"R13",2
"S422",2
"S523",2
"S524",2
"S525",2
"T202",2
"T210",2
"T230",2
"T310",2
"T653",2
"T813",2
"T818",2
"Z431",2
"Z988",2
"A370",1
"A418",1
"A46",1
"A492",1
"A500",1
"A878",1
"B028",1
"B082",1
"B083",1
"B09",1
"B269",1
"B338",1
"B349",1
"B955",1
"B958",1
"C068",1
"C479",1
"C64",1
"C696",1
"C717",1
"C740",1
"D013",1
"D143",1
"D152",1
"D181",1
"D479",1
"D580",1
"D610",1
"D638",1
"D66",1
"D690",1
"D728",1
"D738",1
"D758",1
"D759",1
"E101",1
"E108",1
"E141",1
"E149",1
"E440",1
"E46",1
"E835",1
"E840",1
"E870",1
"G000",1
"G009",1
"G049",1
"G404",1
"G406",1
"G419",1
"G589",1
"G619",1
"G802",1
"G910",1
"G911",1
"G934",1
"G942",1
"H024",1
"H158",1
"H258",1
"H260",1
"H409",1
"H448",1
"H602",1
"H628",1
"H651",1
"H758",1
"H903",1
"H905",1
"I319",1
"I420",1
"I428",1
"I442",1
"I490",1
"I500",1
"I509",1
"I516",1
"I618",1
"I64",1
"I739",1
"I81",1
"I889",1
"I899",1
"J019",1
"J030",1
"J128",1
"J13",1
"J158",1
"J181",1
"J208",1
"J343",1
"J348",1
"J381",1
"J391",1
"J42",1
"J440",1
"J449",1
"J47",1
"J690",1
"J90",1
"J91",1
"J950",1
"J955",1
"J984",1
"K046",1
"K148",1
"K210",1
"K251",1
"K297",1
"K318",1
"K319",1
"K351",1
"K420",1
"K421",1
"K501",1
"K550",1
"K566",1
"K590",1
"K593",1
"K598",1
"K599",1
"K603",1
"K623",1
"K632",1
"K639",1
"K710",1
"K805",1
"K808",1
"K819",1
"K830",1
"K831",1
"K938",1
"L033",1
"L039",1
"L059",1
"L239",1
"L270",1
"L282",1
"L308",1
"L309",1
"L600",1
"L728",1
"L910",1
"M000",1
"M139",1
"M241",1
"M254",1
"M600",1
"M608",1
"M658",1
"M688",1
"M842",1
"M861",1
"N008",1
"N009",1
"N042",1
"N057",1
"N133",1
"N137",1
"N151",1
"N188",1
"N258",1
"N288",1
"N308",1
"N309",1
"N318",1
"N328",1
"N338",1
"N359",1
"N368",1
"N378",1
"N391",1
"N430",1
"N481",1
"N488",1
"N830",1
"N907",1
"O800",1
"P044",1
"P238",1
"P241",1
"P278",1
"P289",1
"P358",1
"P368",1
"P378",1
"P392",1
"P519",1
"P53",1
"P550",1
"P590",1
"P619",1
"P711",1
"P741",1
"P920",1
"P922",1
"P960",1
"P964",1
"Q02",1
"Q038",1
"Q053",1
"Q057",1
"Q078",1
"Q100",1
"Q180",1
"Q189",1
"Q203",1
"Q211",1
"Q213",1
"Q219",1
"Q220",1
"Q226",1
"Q228",1
"Q230",1
"Q250",1
"Q273",1
